,AudioMothCode,AudioMothID,SourceFile,Directory,FileName,FileSize,Encoding,NumChannels,SampleRate,AvgBytesPerSec,BitsPerSample,StartDateTime,Duration,Error,Comment,Artist,FileCreateDate,FileType,FileTypeExtension,MIMEType,Global_Score
39611,AM-25,24E144035BA455E9,GRABADOR-SDZG-AM-25/20190622_122000.WAV,GRABADOR-SDZG-AM-25,20190622_122000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:20:00 22/06/2019 (UTC) by AudioMoth 24E144035BA455E9 at gain setting 2 while battery state was 4.2V.,AudioMoth 24E144035BA455E9,2019:12:08 17:11:30-08:00,WAV,WAV,audio/x-wav,0.9918500185
23928,AM-2,248C7D075B2BF148,GRABADOR-SDZG-AM-2/20190630_113000.WAV,GRABADOR-SDZG-AM-2,20190630_113000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:30:00 30/06/2019 (UTC) by AudioMoth 248C7D075B2BF148 at gain setting 2 while battery state was 3.9V.,AudioMoth 248C7D075B2BF148,2019:12:08 07:41:50-08:00,WAV,WAV,audio/x-wav,0.9919126034
27474,AM-22,247AA5015BA446DA,GRABADOR-SDZG-AM-22/20190622_113000.WAV,GRABADOR-SDZG-AM-22,20190622_113000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:30:00 22/06/2019 (UTC) by AudioMoth 247AA5015BA446DA at gain setting 2 while battery state was 4.5V.,AudioMoth 247AA5015BA446DA,2019:12:10 19:09:19-08:00,WAV,WAV,audio/x-wav,0.9936467409
43199,AM-26,2466C2065BA446CE,GRABADOR-SDZG-AM-26/20190624_120000.WAV,GRABADOR-SDZG-AM-26,20190624_120000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:00:00 24/06/2019 (UTC) by AudioMoth 2466C2065BA446CE at gain setting 2 while battery state was 4.1V.,AudioMoth 2466C2065BA446CE,2019:12:19 17:12:32-08:00,WAV,WAV,audio/x-wav,0.984992981
49540,AM-29,247AA5015BA446E5,GRABADOR-SDZG-AM-29/20190620_105000.WAV,GRABADOR-SDZG-AM-29,20190620_105000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,10,60.00046875,,Recorded at 10:50:00 20/06/2019 (UTC) by AudioMoth 247AA5015BA446E5 at gain setting 2 while battery state was 4.5V.,AudioMoth 247AA5015BA446E5,2019:12:08 11:14:33-08:00,WAV,WAV,audio/x-wav,0.9859961271
22920,AM-2,248C7D075B2BF148,GRABADOR-SDZG-AM-2/20190623_113000.WAV,GRABADOR-SDZG-AM-2,20190623_113000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:30:00 23/06/2019 (UTC) by AudioMoth 248C7D075B2BF148 at gain setting 2 while battery state was 4.2V.,AudioMoth 248C7D075B2BF148,2019:12:08 06:14:43-08:00,WAV,WAV,audio/x-wav,0.9723700285
35139,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190617_104000.WAV,GRABADOR-SDZG-AM-24,20190617_104000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,10,60.00046875,,Recorded at 10:40:00 17/06/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 4.4V.,AudioMoth 243B1F075C79FAFC,2019:12:09 02:56:23-08:00,WAV,WAV,audio/x-wav,0.9923904538
22340,AM-2,248C7D075B2BF148,GRABADOR-SDZG-AM-2/20190619_105000.WAV,GRABADOR-SDZG-AM-2,20190619_105000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,10,60.00046875,,Recorded at 10:50:00 19/06/2019 (UTC) by AudioMoth 248C7D075B2BF148 at gain setting 2 while battery state was 4.3V.,AudioMoth 248C7D075B2BF148,2019:12:08 05:24:37-08:00,WAV,WAV,audio/x-wav,0.9797560573
47470,AM-27,243B1F075C79F65E,GRABADOR-SDZG-AM-27/20190630_110000.WAV,GRABADOR-SDZG-AM-27,20190630_110000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:00:00 30/06/2019 (UTC) by AudioMoth 243B1F075C79F65E at gain setting 2 while battery state was 4.0V.,AudioMoth 243B1F075C79F65E,2019:12:18 13:16:37-08:00,WAV,WAV,audio/x-wav,0.06779411435
36591,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190627_124000.WAV,GRABADOR-SDZG-AM-24,20190627_124000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:40:00 27/06/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F075C79FAFC,2019:12:09 05:01:25-08:00,WAV,WAV,audio/x-wav,0.03816503286
43619,AM-26,2466C2065BA446CE,GRABADOR-SDZG-AM-26/20190627_100000.WAV,GRABADOR-SDZG-AM-26,20190627_100000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,10,60.00046875,,Recorded at 10:00:00 27/06/2019 (UTC) by AudioMoth 2466C2065BA446CE at gain setting 2 while battery state was 4.0V.,AudioMoth 2466C2065BA446CE,2019:12:19 17:25:44-08:00,WAV,WAV,audio/x-wav,0.5310518146
47623,AM-27,243B1F075C79F65E,GRABADOR-SDZG-AM-27/20190701_123000.WAV,GRABADOR-SDZG-AM-27,20190701_123000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:30:00 01/07/2019 (UTC) by AudioMoth 243B1F075C79F65E at gain setting 2 while battery state was 4.0V.,AudioMoth 243B1F075C79F65E,2019:12:18 13:21:24-08:00,WAV,WAV,audio/x-wav,0.9907100797
35720,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190621_113000.WAV,GRABADOR-SDZG-AM-24,20190621_113000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:30:00 21/06/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 4.3V.,AudioMoth 243B1F075C79FAFC,2019:12:09 03:46:21-08:00,WAV,WAV,audio/x-wav,0.9941552281
35285,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190618_110000.WAV,GRABADOR-SDZG-AM-24,20190618_110000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:00:00 18/06/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 4.4V.,AudioMoth 243B1F075C79FAFC,2019:12:09 03:08:57-08:00,WAV,WAV,audio/x-wav,0.9359441996
67791,AM-6,2466C2065B2BF148,GRABADOR-SDZG-AM-6/20190621_124000.WAV,GRABADOR-SDZG-AM-6,20190621_124000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:40:00 21/06/2019 (UTC) by AudioMoth 2466C2065B2BF148 at gain setting 2 while battery state was 4.1V.,AudioMoth 2466C2065B2BF148,2019:12:10 11:00:02-08:00,WAV,WAV,audio/x-wav,0.2099094689
47474,AM-27,243B1F075C79F65E,GRABADOR-SDZG-AM-27/20190630_114000.WAV,GRABADOR-SDZG-AM-27,20190630_114000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:40:00 30/06/2019 (UTC) by AudioMoth 243B1F075C79F65E at gain setting 2 while battery state was 4.0V.,AudioMoth 243B1F075C79F65E,2019:12:18 13:16:44-08:00,WAV,WAV,audio/x-wav,0.7788420916
35280,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190618_101000.WAV,GRABADOR-SDZG-AM-24,20190618_101000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,10,60.00046875,,Recorded at 10:10:00 18/06/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 4.4V.,AudioMoth 243B1F075C79FAFC,2019:12:09 03:08:31-08:00,WAV,WAV,audio/x-wav,0.3849592209
